,county,state,latitude,longitude
652,SCHUYLKILL,PA,40.088156,-75.480887
658,SHELBY,OH,40.888988,-82.65598
659,SHENANDOAH,VA,38.496959999999994,-78.61997
663,SOMERSET,PA,40.02847,-79.1105
667,SPOTSYLVANIA,VA,38.207275,-77.64378
668,STAFFORD,VA,38.460395,-77.43266
675,SURRY,VA,37.14051,-76.74342
676,SUSQUEHANNA,PA,41.944334000000005,-75.57240999999999
677,SUSSEX,VA,36.945667,-77.253913
679,TAZEWELL,VA,37.113004,-81.50326
680,TIOGA,PA,41.924013,-77.14224
685,TUSCARAWAS,OH,40.397915999999995,-81.40527
687,UNION,OH,39.104387,-84.232422
690,VAN WERT,OH,40.874092,-84.57871
691,VENANGO,PA,41.774575,-80.1145
692,VINTON,OH,38.99754,-82.36215
695,WARREN,OH,41.205342,-80.85755999999999
703,WARREN,PA,41.853225,-79.15521
707,WASHINGTON,KY,38.61225,-83.808021
709,WASHINGTON,PA,40.170663,-80.25185
710,WASHINGTON,VA,38.725801000000004,-78.16767
712,WAYNE,OH,41.28953,-83.50215
715,WAYNE,PA,40.043201,-75.357678
719,WAYNE,WV,38.225065,-82.43909000000001
721,WEBSTER,KY,37.934279,-86.34869
730,WISE,VA,36.979817,-82.56963
736,WYOMING,PA,41.31943,-75.85208
737,WYOMING,WV,37.585536,-81.60347
739,YORK,PA,39.962463,-76.72887
